tower_id|tower_height|access|transport|latitude|longitude|geom
7886|15.0|2G|SATELLITE|-3.50702|-72.8315|0101000020E6100000F0A7C64B373552C0E6577380600E0CC0
7885|15.0|2G|SATELLITE|-3.50935|-72.50196|0101000020E61000009CF9D51C202052C0A5BDC11726130CC0
7758|15.0|2G|SATELLITE|-3.8468|-73.38771|0101000020E610000042959A3DD05852C0BC0512143FC60EC0
7593|15.0|2G|SATELLITE|-4.81831|-75.39433|0101000020E61000003A75E5B33CD952C084F57F0EF34513C0
7709|15.0|2G|SATELLITE|-4.31965|-74.29487|0101000020E610000094A46B26DF9252C065AA6054524711C0
7896|15.0|2G|SATELLITE|-3.47709|-72.50865|0101000020E610000011C7BAB88D2052C037FDD98F14D10BC0
7685|15.0|2G|SATELLITE|-4.51178|-74.01367|0101000020E6100000EDBB22F8DF8052C0CEFC6A0E100C12C0
7087|15.0|2G|SATELLITE|-5.726237|-76.0074|0101000020E6100000637FD93D790053C0A39410ACAAE716C0
7682|15.0|2G|SATELLITE|-4.52399|-74.66982|0101000020E61000003B8DB454DEAA52C063B9A5D5901812C0
7756|15.0|2G|SATELLITE|-3.86466|-73.61164|0101000020E61000003A3B191C256752C05F46B1DCD2EA0EC0
77101|15.0|2G|SATELLITE|-4.28642|-73.43164|0101000020E61000004FE960FD9F5B52C068AED3484B2511C0
7616|15.0|2G|SATELLITE|-4.69713|-74.25895|0101000020E6100000265305A3929052C0EE3D5C72DCC912C0
7618|15.0|2G|SATELLITE|-4.68753|-74.40204|0101000020E6100000C4EBFA05BB9952C0551344DD07C012C0
7684|15.0|2G|SATELLITE|-4.51203|-73.90562|0101000020E6100000A0A696ADF57952C09548A297510C12C0
7858|15.0|2G|SATELLITE|-3.60692|-72.95792|0101000020E6100000CC0BB08F4E3D52C07B4E7ADFF8DA0CC0
7048|15.0|4G|MICROWAVE|-5.796249|-76.092548|0101000020E6100000DA53724EEC0553C00DE4D9E55B2F17C0
7603|15.0|2G|SATELLITE|-4.76939|-73.62624|0101000020E61000009CDCEF50146852C04E7ADFF8DA1313C0
6986|30.0|4G|MICROWAVE|-5.905667|-76.026917|0101000020E610000036AD1402B90153C00744882B679F17C0
6878|30.0|2G|SATELLITE|-6.05841|-76.19771|0101000020E6100000E605D847A70C53C09609BFD4CF3B18C0
7760|30.0|2G|SATELLITE|-3.83219|-73.15475|0101000020E610000096438B6CE74952C04777103B53A80EC0
7747|30.0|2G|SATELLITE|-3.915528|-73.341194|0101000020E6100000DAE55B1FD65552C00C94145800530FC0
7003|30.0|4G|MICROWAVE|-5.89055|-76.231819|0101000020E6100000DAE55B1FD60E53C0ABCFD556EC8F17C0
7688|30.0|2G|SATELLITE|-4.487917|-73.907833|0101000020E6100000B14E95EF197A52C055A69883A0F311C0
7718|30.0|2G|SATELLITE|-4.1775|-73.37955|0101000020E6100000984C158C4A5852C0F6285C8FC2B510C0
7049|30.0|2G|SATELLITE|-5.79426|-74.28249|0101000020E61000009CDCEF50149252C07715527E522D17C0
7656|30.0|2G|SATELLITE|-4.580967|-74.258522|0101000020E6100000FAD2DB9F8B9052C08F386403E95212C0
7859|30.0|2G|SATELLITE|-3.6043|-73.16658|0101000020E6100000BB0A293FA94A52C04BC8073D9BD50CC0
6955|30.0|4G|MICROWAVE|-5.969361|-76.112361|0101000020E6100000231631EC300753C04912842BA0E017C0
7900|15.0|2G|SATELLITE|-3.457356|-73.144393|0101000020E61000005D3123BC3D4952C0F6083543AAA80BC0
7769|24.0|2G|SATELLITE|-3.78579|-73.286749|0101000020E6100000494A7A185A5252C0D3307C444C490EC0
7835|24.0|2G|SATELLITE|-3.72945|-73.24727|0101000020E61000000BD28C45D34F52C0A089B0E1E9D50DC0
7839|24.0|2G|SATELLITE|-3.724332|-73.255561|0101000020E61000008448861C5B5052C0F7915B936ECB0DC0
7840|24.0|2G|SATELLITE|-3.724139|-73.24553|0101000020E6100000F60B76C3B64F52C0AE10566309CB0DC0
7828|24.0|2G|SATELLITE|-3.73535|-73.258861|0101000020E61000006E4DBA2D915052C0A7E8482EFFE10DC0
7775|40.0|2G|SATELLITE|-3.772446|-73.295147|0101000020E6100000CD203EB0E35252C07B681F2BF82D0EC0
7778|35.0|2G|SATELLITE|-3.770491|-73.286372|0101000020E61000005E9F39EB535252C010E6762FF7290EC0
7784|25.0|2G|SATELLITE|-3.764477|-73.276648|0101000020E61000003E20D099B45152C0815A0C1EA61D0EC0
7844|30.0|2G|SATELLITE|-3.713458|-73.239397|0101000020E6100000AC70CB47524F52C07A8EC87729B50DC0
7766|30.0|2G|SATELLITE|-3.797046|-73.311736|0101000020E6100000183F8D7BF35352C0CC423BA759600EC0
7797|11.0|2G|SATELLITE|-3.756309|-73.247855|0101000020E61000009BC937DBDC4F52C01C5DA5BBEB0C0EC0
7794|11.0|2G|SATELLITE|-3.757471|-73.24841|0101000020E6100000F67F0EF3E54F52C0EA58A5F44C0F0EC0
7792|11.0|2G|SATELLITE|-3.758411|-73.2488|0101000020E6100000ABCFD556EC4F52C0CB694FC939110EC0
7795|11.0|2G|SATELLITE|-3.757471|-73.248405|0101000020E61000006DCA15DEE54F52C0EA58A5F44C0F0EC0
7805|11.0|2G|SATELLITE|-3.752269|-73.24727|0101000020E61000000BD28C45D34F52C0645B069CA5040EC0
6990|11.0|4G|MICROWAVE|-5.900704|-76.111505|0101000020E6100000CA15DEE5220753C06B813D26529A17C0
6996|11.0|4G|MICROWAVE|-5.89575|-76.121858|0101000020E610000062307F85CC0753C06891ED7C3F9517C0
6983|11.0|4G|MICROWAVE|-5.907081|-76.1103|0101000020E6100000EC2FBB270F0753C0BA4A77D7D9A017C0
7728|15.0|2G|SATELLITE|-4.089903|-73.45138|0101000020E61000006284F068E35C52C0C83F33880F5C10C0
6997|11.0|4G|MICROWAVE|-5.895262|-76.104769|0101000020E61000009E280989B40653C0FD67CD8FBF9417C0
6999|11.0|4G|MICROWAVE|-5.894595|-76.105726|0101000020E61000009015FC36C40653C015A930B6109417C0
7112|15.0|2G|SATELLITE|-5.69952|-74.42791|0101000020E610000068E89FE0629B52C078978BF84ECC16C0
76111|15.0|2G|SATELLITE|-4.71174|-74.93008|0101000020E61000007AAA436E86BB52C02905DD5ED2D812C0
6840|5.0|2G|SATELLITE|-6.123067|-76.165032|0101000020E6100000C8B260E28F0A53C009DE9046057E18C0
7609|20.0|2G|SATELLITE|-4.718369|-74.92198|0101000020E61000003BE466B801BB52C045D7851F9CDF12C0
7665|15.0|2G|SATELLITE|-4.57009|-73.68942|0101000020E6100000554D10751F6C52C0481B47ACC54712C0
7908|57.0|2G|SATELLITE|-3.108722|-73.138194|0101000020E610000038A0A52BD84852C080D8D2A3A9DE08C0
7713|45.0|2G|SATELLITE|-4.238583|-73.486709|0101000020E6100000CF6A813D265F52C0BA86191A4FF410C0
7681|45.0|2G|SATELLITE|-4.528583|-74.642833|0101000020E610000088F2052D24A952C0E3E2A8DC441D12C0
7183|45.0|2G|SATELLITE|-5.49125|-75.825361|0101000020E61000003599F1B6D2F452C0D7A3703D0AF715C0
7469|45.0|2G|SATELLITE|-5.043944|-75.540472|0101000020E6100000D619DF1797E252C0F46BEBA7FF2C14C0
7652|45.0|2G|SATELLITE|-4.585722|-74.390611|0101000020E61000004E9D47C5FF9852C0DB300A82C75712C0
7907|66.0|2G|SATELLITE|-3.318778|-73.217194|0101000020E6100000CCB8A981E64D52C06C79E57ADB8C0AC0
80101|15.0|2G|SATELLITE|-3.31226|-73.22038|0101000020E6100000522CB7B41A4E52C0ACCABE2B827F0AC0
331|30.0|4G|MICROWAVE|-5.92514244864574|-75.999503674783|0101000020E610000030DB42DEF7FF52C09C4CC48A58B317C0
319|30.0|4G|MICROWAVE|-5.89478322870778|-76.2325052780687|0101000020E6100000F55CD15DE10E53C0A03C010E429417C0
81101|15.0|2G|SATELLITE|-2.94105|-73.46124|0101000020E6100000DAE6C6F4845D52C0D734EF38458707C0
82101|15.0|2G|SATELLITE|-3.03049|-73.23823|0101000020E610000045BB0A293F4F52C01FD7868A713E08C0
328|30.0|2G|SATELLITE|-5.89095756858718|-75.9515264595539|0101000020E610000003443CCFE5FC52C08DD24C2E579017C0
335|30.0|2G|SATELLITE|-5.62916666666667|-75.955|0101000020E610000085EB51B81EFD52C048444444448416C0
368|30.0|2G|SATELLITE|-3.02308333333333|-73.3920833333333|0101000020E6100000497EB1E4175952C09BFE8D50462F08C0
371|30.0|2G|SATELLITE|-3.49997222222222|-73.0911111111111|0101000020E610000090A1B2C3D44552C0B2D2BA6FF1FF0BC0
316|30.0|2G|SATELLITE|-6.04928331277774|-76.1768403258158|0101000020E61000008BFF155A510B53C0C9792253773218C0
6754|15.0|2G|SATELLITE|-6.25146|-76.03212|0101000020E61000000B630B410E0253C03602F1BA7E0119C0
6795|15.0|2G|SATELLITE|-6.20961|-75.78102|0101000020E610000067614F3BFCF152C082A8FB00A4D618C0
6792|9.0|2G|SATELLITE|-6.215073|-75.78683|0101000020E6100000BF60376C5BF252C0AC02B5183CDC18C0
6738|9.0|2G|SATELLITE|-6.281772|-75.76081|0101000020E6100000111E6D1CB1F052C0CCB6D3D6882019C0
6732|15.0|2G|SATELLITE|-6.291822|-75.72135|0101000020E61000000EBE30992AEE52C06403E962D32A19C0
6779|9.0|2G|SATELLITE|-6.22359|-75.82675|0101000020E6100000F4FDD478E9F452C0BED9E6C6F4E418C0
6832|45.0|2G|SATELLITE|-6.1425|-75.96395|0101000020E6100000AB3E575BB1FD52C052B81E85EB9118C0
369|30.0|2G|SATELLITE|-3.10872222222222|-73.1381944444445|0101000020E610000031D8822DD84852C0D157A6C1A9DE08C0
314|15.0|4G|MICROWAVE|-5.905003|-76.101394|0101000020E6100000AE80423D7D0653C0A7203F1BB99E17C0
317|30.0|2G|SATELLITE|-6.11316495635003|-76.2713571445513|0101000020E610000090585BEA5D1153C07C4EAA83E17318C0
315|30.0|2G|SATELLITE|-6.04225003463105|-76.157034498059|0101000020E610000076606CDA0C0A53C01DFBD397432B18C0
380|30.0|2G|SATELLITE|-5.08227053426421|-75.5913478129283|0101000020E6100000A5457FA4D8E552C05F5B18BA3E5414C0
321|30.0|4G|MICROWAVE|-5.96033015583201|-76.1520971973351|0101000020E61000008517E2F5BB0953C0EFA4D2C960D717C0
337|30.0|2G|SATELLITE|-5.71132862568861|-75.8466822661188|0101000020E610000057C5D00A30F652C0322A008866D816C0
370|30.0|2G|SATELLITE|-3.31877777777778|-73.2171944444444|0101000020E6100000BEF08683E64D52C01AFA115DDB8C0AC0
51004|90.0|2G|SATELLITE|-4.780361|-75.28275|0101000020E61000006ABC749318D252C0A14B38F4161F13C0
41004|90.0|2G|SATELLITE|-5.043944|-75.540472|0101000020E6100000D619DF1797E252C0F46BEBA7FF2C14C0
14104|90.0|2G|SATELLITE|-3.72963|-73.25364|0101000020E6100000473D44A33B5052C09F71E14048D60DC0
6906|15.0|2G|SATELLITE|-6.040733|-74.723789|0101000020E6100000170D198F52AE52C0CD785BE9B52918C0
7697|30.0|2G|SATELLITE|-4.446528|-73.44225|0101000020E6100000FCA9F1D24D5C52C03FFED2A23EC911C0
7663|30.0|2G|SATELLITE|-4.572472|-73.766517|0101000020E6100000FEB4519D0E7152C0BB809719364A12C0
7701|30.0|2G|SATELLITE|-4.430775|-73.58735|0101000020E61000008F537424976552C0D3BCE3141DB911C0
7088|125.0|2G|SATELLITE|-5.726083|-76.009583|0101000020E61000003FE603029D0053C0EDB94C4D82E716C0
7909|75.0|2G|SATELLITE|-3.023083|-73.392083|0101000020E610000053944BE3175952C0A1BFD023462F08C0
329|30.0|2G|SATELLITE|-6.01552827106242|-76.0270401016982|0101000020E61000005B1E6806BB0153C08E81A1A4E60F18C0
330|30.0|2G|SATELLITE|-5.95481111111111|-75.964926297017|0101000020E6100000422F3A5AC1FD52C08D510001BAD117C0
336|30.0|2G|SATELLITE|-5.43685331379353|-75.8746987466069|0101000020E6100000D8A17310FBF752C0DB919F7956BF15C0
323|30.0|2G|SATELLITE|-5.72451545667695|-76.0115583358355|0101000020E6100000389A2C5FBD0053C0FB7E3F61E7E516C0
381|30.0|2G|SATELLITE|-5.04799723065309|-75.5480916895232|0101000020E61000008A6D2AEF13E352C07AD09F2F263114C0
